Job Title,Company Name,Job City,Job Experience,Job Salary,Job Description,Concerned Job Function,Concerned Industry,Concerned Specialization,Concerned Qualification,Concerned Employment Type,Key Skills,Related Company,Related Website,Related Industry,Related Company Turnover,Related Company Size
"Applications invited for Junior Research Fellow at ASET ,  Amity University Noida - 08-04-2024 - Adv / AUUP / HR / 24 / 22",Amity University,Noida/Greater Noida,0 - 3 Years,Not disclosed,"Advertisement Date: 08.04.2024
Amity University Uttar Pradesh, Noida invites applications for
Amity School of Engineering & Technology Research (ASET)
for Junior Research Fellow.
Name of Posts
Junior Research Fellow (JRF)
Number of posts
01 (one)
Name of the Research Project
AIPMS: Design and Development an AI-enabled Personalized Physiotherapy Monitoring System
Name of sponsoring agency
The De Luca Foundation, Massachusetts, USA.
Duration of the position
2 years
Fellowship / Monthly compensation
Rs 31,000/-pm
Essential qualifications
Essential:
M.E/M.Tech (Electronics/ Electronics and Communication/ Computer Science/ AI/ Data Science or any other related branch of Engineering).
Knowledge of Python programming
Desirable
Candidates with relevant experience in Machine Learning and Deep Learning.
General Conditions
Appointment of the applicant will be governed by the terms and conditions of the funding agency particularly applicable to the said project.
Interested candidates should submit their application with details of academic qualifications within 30 days of this advertisement to / with cc to sushils@amity.edu
No TA/ DA will be paid to the candidates for attending the interview.",Bio Tech/R&D/Scientist,Educational/Training,Pharmacy,"ME/ M.Tech./ MS (Engg/ Sciences) 
                     
                     
                  
 
                    Any Graduate",Full Time,"['ai/ml', 'python programming', 'data science', 'machine learning', 'deep learning', 'physiotherapy']",Amity University,http://www.amity.edu/,"Education, Training Institutes & Academic Research (Colleges, PG Institutes, Universities)",1000 - 2500 Crores,1001 - 5000 Employees
Interns,HARMAN INTERNATIONAL,Gurgaon,0 - 1 Years,Not disclosed,"A Career at HARMAN
As a technology leader that is rapidly on the move, HARMAN is filled with people who are focused on making life better. Innovation, inclusivity and teamwork are a part of our DNA. When you add that to the challenges we take on and solve together, youll discover that at HARMAN you can grow, make a difference and be proud of the work you do every day.
A Developer Intern would be responsible for parts of the development, integration, and implementation of features of the software, as well as the R&D research and documentation aspects that come with the project.
Look for Interns who have interest and project worked on.
Backed and FE development Tech Stack: Java/Python/React/Angular etc.
The Intern should have aptitude for learning, flexible, and adaptable to change.
Should be a graduate in Engineering or Science.
Have percentile of 95 PERCENT  in JEE mains.
HARMAN is proud to be an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.
Locations: IN Gurgaon Bldg # 10 DLF Cyber City HCS, India",IT Software ; Software Products & Services,Manufacturing/Industrial,Software Engineer,Any Graduate,Full Time,"['java development', 'python programming', 'react framework', 'angular development', 'software integration', 'jee']",HARMAN INTERNATIONAL,http://www.harman.com/,"Technology (IT, Telecom, Dot Com etc) (Software Products Companies)",500 - 1000 Crores,10001 - 10001+ Employees
Full stack Developers,BRAINTECHNOSYS PVT. LTD.,Noida/Greater Noida,0 - 3 Years,Not disclosed,"Description Proficiency with fundamental front-end languages such as HTML, CSS, and JavaScript.
Familiarity with JavaScript frameworks such as Angular JS, React, and Amber.
Proficiency with server-side languages such as Python, Ruby, Java, PHP, and .Net.
Familiarity with database technology such as MySQL, Oracle, and MongoDB.
Technical Skills Ensuring responsiveness of applications.
Working alongside graphic designers for web design features.
Seeing through a project from conception to finished product.
Designing and developing APIs.
Meeting both technical and consumer needs.",IT Software ; Software Products & Services,"Software Services,  IT-Software",Software Engineer,Any Graduate,Full Time,"['css', 'python', 'oracle', 'javascript', 'ruby', 'database', 'java', 'php', '.net', 'html', 'mysql', 'technical skills', 'mongodb']",BRAINTECHNOSYS PVT. LTD.,,"Technology (IT, Telecom, Dot Com etc) (Software Products Companies)",,
"Applications invited for Junior Research Assistant at AIAS ,  Amity University Noida - 29-08-2025 - Adv / AUUP / HR / 25 / 76",Amity University,Noida/Greater Noida,0 - 3 Years,Not disclosed,"Job Advertisement
Advertisement Date: 29.08.2025
Amity University Uttar Pradesh, Noida invites applications for
Amity Institute of Institute of Applied Science (AIAS)
for Junior Research Assistant (JRA)
Name of Post
Junior Research Assistant (JRA)
Number of Post
01 (One)
Name of Project
Fuzzy Logic Based Waste Management System for Construction Sites
Name of Sponsoring Agency
Council of Science & Technology, U.P. (CSTUP)
Duration of the Position
3 Years
Fellowship / Monthly Compensation
Rs. 28,000/- (Consolidated) (As per funding agency norms)
Essential Qualifications
Candidate should have Masters Degree (M.Sc./M.Tech) in Mathematics/Applied Mathematics/Statistics/Computational Mathematics/ Computer Sciences/ ECE/ME/EE with a minimum of 60 PERCENT  marks or equivalent CGPA.
The candidate should be Resident of Uttar Pradesh.
Desirable:
Knowledge of Fuzzy Set Theory/ Fuzzy Logic.
Experience with Python or MATLAB for mathematical modeling.
Age Limit
28 years as on 1st April 2025
Interested candidates meeting the above qualifications are requested to send their detailed CV on or before 10th September 2025 of this advertisement through email to [email@example.com] with cc to [ccemail@example.com]. Please mention JRA- AIAS in the subject line.
No TA/ DA will be paid to the candidates for attending the interview.",Bio Tech/R&D/Scientist,Educational/Training,Pharmacy,"M.Sc. (Science) 
                     
                     
                  
 
                    Any Graduate",Full Time,"['fuzzy set theory', 'mathematical modeling', 'python programming', 'matlab proficiency', 'data analysis', 'mathematics', 'science', 'statistics']",Amity University,http://www.amity.edu/,"Education, Training Institutes & Academic Research (Colleges, PG Institutes, Universities)",1000 - 2500 Crores,1001 - 5000 Employees
"Applications invited for Project Assistant at AIMMSCR ,  Amity University Noida - 28-02-2024 - Adv / AUUP / HR / 24 / 08",Amity University,Noida/Greater Noida,0 - 4 Years,Not disclosed,"Advertisement Date: 28-02-2024
Adv/AUUP/HR/24/08
Amity Institute of Molecular Medicine & Stem Cell Research
Invites
Applications for the Post of Project Assistant
Applications are invited from highly motivated and bright candidates for the following assignment on a time-bound research project undertaken in the Amity Institute of Molecular Medicine & Stem Cell Research, Amity University, Noida.
Name of Posts
Project Assistant
Number of posts
02
Name of the Research Project
Identifying novel transcriptional inhibitors for Therapeutic targeting of M. tuberculosis SigE.
Name of sponsoring agency
ICMR
Duration of the position
3 Years
Fellowship / Monthly compensation
Rs 28000   27 PERCENT  HRA (Project Technical Support II) and Rs 30600 Consolidated (Sr. Project Assistant)
Essential qualifications
Masters in Biology/Biotechnology/Bioinformatics with a minimum of 55 PERCENT  or equivalent CGPA.
Candidates with Molecular Biology and Microbiology experience will be preferred. Additionally, candidates having experience in working with cell and animal models of infection and with BSL3 experience is desirable.
Experience in handling Big Data, knowledge of programing language such as PYTHON, PERL etc.
Age Limit
As per ICMR guidelines.
General Conditions
Appointment of the applicant will be governed by the terms and conditions of the funding agency particularly applicable to the said project.
Interested candidates should submit their application with details of academic qualifications within 10 days of this advertisement to [Email Address], with cc to [Email Address] and [Email Address].
No TA/ DA will be paid to the candidates for attending the interview.",Bio Tech/R&D/Scientist,Educational/Training,Bio-Technology Research,Any Graduate,Full Time,"['molecular biology', 'microbiology', 'big data handling', 'programming (python', 'perl)', 'cell/animal models', 'research', 'bioinformatics', 'project assistant']",Amity University,http://www.amity.edu/,"Education, Training Institutes & Academic Research (Colleges, PG Institutes, Universities)",1000 - 2500 Crores,1001 - 5000 Employees
Software engineering,Lab49,Noida/Greater Noida,0 - 3 Years,Not disclosed,"Analytical thinking Operating in the data-rich and fast-moving finance industry, our teams are often faced with the most complex and challenging projects in financial services, where no one project is ever the same. By employing an analytical and logical approach, software engineers at Lab49 drive truly transformative change for our clients.
Collaborative approach We pride ourselves on getting new systems right at the first time of asking. To do this, our software engineering teams work closely with our clients to understand their unique challenges and technology needs. We draw on our shared experiences in end-to-end software delivery to develop the most effective and tailored solutions.
Innovation Working alongside our UX specialists, we engineer many of the most forward-thinking systems in the industry. We do this by leveraging the myriad of platforms available to design and build the perfect solution for our clients. With experts and community leaders in WebUI, Node.js, .NET, Java, Scala, React.js and Python, were one of the most platform- agnostic consultancies on the market.
Roles and Current Opportunities Join a software design and engineering team where you will have to apply principles and techniques of computer science and mathematical analysis every day to solve the industrys most interesting problems.",IT Software ; Software Products & Services,"Financial Services/Stockbroking,  Banking",Software Engineer,Any Graduate,Full Time,"['python', 'scala', 'software design', 'software delivery', 'react.js', 'node.js', 'java', 'devops', '.net', 'software engineering']",Lab49,http://www.lab49.com,"Banking, Financial Services & Insurance (Other Banking, Financial Services & Insurance)",,
AI Engineers,Dignitas Digital,Delhi,0 - 1 Years,Not disclosed,"Location: New Delhi
Were inviting passionate freshers and interns to be part of our AI revolution. If youre excited about learning, building, and shaping the future with cutting-edge technologies, we want to hear from you!
Responsibilities:
Support research and development (R&D) initiatives to align with our AI strategy.
Work with teams to understand company/client challenges and identify AI-driven solutions.
Contribute to cross-functional teams identifying key business opportunities for AI applications.
Learn to analyze and explain AI/ML models while upholding ethical standards.
Collaborate on solution design, prototyping, testing, and documentation.
Participate in assessments of the AI and automation landscape.
Communicate effectively with team members to ensure feedback is implemented.
Required Skills:
Familiar with AI/ML concepts, even through academic or personal projects.
Exposure to tools like Python, TensorFlow, NLP, or deep learning frameworks.
A basic understanding of algorithms, object-oriented programming, and design patterns.
Familiarity with existing AI techniques and the ever-evolving tools landscape is a huge plus.
Understanding of vibe coding and a few personal projects in the AI/ML space  show us what youve built or explored!
Enthusiastic about solving real-world problems with technology.
Eager to learn, collaborate, and grow in a fast-paced environment.
Requirements:
Bachelors or Masters degree (completed or pursuing) in Computer Science or related field.
Exposure to cloud platforms (AWS, Azure, GCP).
Experience with REST APIs, NoSQL databases, or RDBMS.
Knowledge of innovation accelerators or startup environments.
Think you are a fit? Contact us now.",IT Software ; Software Products & Services,"IT-Hardware/Networking,  Telecom",Software Engineer,"ML/ LLM (Law) 
                     
                     
                  
 
                    BE/ B.Tech (Engineering)",Full Time,"['ai/ml concepts', 'python programming', 'deep learning frameworks', 'algorithms understanding', 'rest apis exposure', 'rdbms', 'nosql']",Dignitas Digital,https://dignitas.digital,"Technology (IT, Telecom, Dot Com etc) (Other Technology Services)",1 - 100 Crores,201 - 500 Employees
Junior Quant Trader,LCX,Gurgaon,0 - 1 Years,Not disclosed,": Junior Quant Trader Specialist for Crypto and Blockchain Company
Position: Junior Quant Trader
Location: Gurugram, India
Company: LCX Technologies Private Limited
About Us:
LCX is a leading innovator in the cryptocurrency and blockchain industry, dedicated to fostering the growth and stability of digital assets. We are committed to providing a robust trading ecosystem that ensures liquidity and efficiency for our clients. As we expand our operations, we are seeking a skilled Market-Making Specialist with a background in reputable market-making firms to join our team.
Job Overview:
The Junior Market Maker will assist in setting up, monitoring, and maintaining our market-making operations. This is an excellent opportunity for freshers or early-career professionals with a strong passion for cryptocurrency and blockchain. The ideal candidate should have a basic understanding of crypto markets and trading principles.
Key Responsibilities:
Market-Making Setup:
Develop and implement market-making strategies for various cryptocurrency pairs.
Configure and optimize trading algorithms and systems for market-making activities.
Coordinate with the technical team to ensure seamless integration of market-making tools.
Onboarding:
Collaborate with the BD team to onboard new market-making clients and partners.
Provide technical support and guidance during the onboarding process.
Ensure all systems and protocols are in place for new market-making activities.
Monitoring and Maintenance:
Continuously monitor market conditions and adjust strategies to maintain optimal performance.
Perform regular maintenance and updates on market-making systems.
Troubleshoot and resolve any issues that arise in real-time to ensure uninterrupted operations.
Collaboration and Communication:
Work closely with senior team members to align market-making efforts with company goals.
Communicate with internal teams, including Business Development and Compliance, to ensure coordination.
Prepare and present regular performance updates and insights.
Requirements:
Experience:
Freshers or candidates with up to 1 year of experience in crypto, trading, or blockchain are welcome.
Basic understanding of market-making, trading platforms, or cryptocurrency markets.
Knowledge of blockchain technology and crypto trading is essential.
Technical Skills:
Familiarity with trading platforms (e.g., Binance, KuCoin, etc.) and crypto trading tools is a plus.
Strong analytical and problem-solving abilities.
Proficiency in programming languages such as Python, C  , or Java is a plus.
Soft Skills:
Excellent analytical and problem-solving skills.
Strong communication and interpersonal abilities.
Ability to work as part of a team in a fast-paced environment.
Benefits:
Competitive salary and performance-based bonuses.
Opportunities for professional growth and development.
Collaborative and innovative work environment.
Training and development to help you grow your career in the cryptocurrency sector.
Join LCX and be a part of shaping the future of cryptocurrency trading and blockchain technology.
Locations: Haryana, Gurugram, India",IT Software ; Software Products & Services,"Financial Services/Stockbroking,  Banking",Software Engineer,Any Graduate,Full Time,"['market making strategies', 'trading algorithms', 'crypto trading tools', 'analytical abilities', 'programming languages', 'python', 'c', 'java', 'technical skills']",LCX,http://www.lcx.com,"Banking, Financial Services & Insurance (Other Banking, Financial Services & Insurance)",,
Software Engineering Apprenticeship,Synopsys Inc,Noida/Greater Noida,0 - 1 Years,Not disclosed,"Category: Interns/Temp
Hire Type: Intern
Job ID: 9299
Remote Eligible: No
Date Posted: 17/07/2025
We Are:
Drive technology innovations that shape the way we live and connect. Our technology drives the Era of Pervasive Intelligence, where smart tech and AI are seamlessly woven into daily life. From self-driving cars and health-monitoring smartwatches to renewable energy systems that efficiently distribute clean power, Synopsys creates high-performance silicon chips that help build a healthier, safer, and more sustainable world.
Apprenticeship Experience:
At Synopsys, apprentices dive into real-world projects, gaining hands-on experience while collaborating with our passionate teams worldwideand having fun in the process! You'll have the freedom to share your ideas, unleash your creativity, and explore your interests. This is your opportunity to bring your solutions to life and work with cutting-edge technology that shapes not only the future of innovation but also your own career path. Join us and start shaping your future today!
Mission Statement:
Our mission is to fuel todays innovations and spark tomorrows creativity. Together, we embrace a growth mindset, empower one another, and collaborate to achieve our shared goals. Every day, we live by our values of Integrity, Excellence, Leadership, and Passion, fostering an inclusive culture where everyone can thriveboth at work and beyond.
What Youll Be Doing:
Troubleshooting software programs in Emulation.
Managing R&D SW regressions.
Creating validation suites for feature enhancements.
Learning and exploring new technologies.
Networking with internal and external personnel on assigned tasks.
What Youll Need:
Should be a fresh graduate engineer in Computer Science or Electronics (2025).
Knowledge of coding (C/C  ) and scripting (Perl, Python).
Understanding of Data Structures and Basic Operating Systems Concepts.
Knowledge of Verilog/VHDL and EDA tools is a plus.
Key Program Facts:
Program Length: 12 months
Location: Noida, India
Working Model: In-office
Full-Time/Part-Time: Full-time
Start Date: August/September 2025
Equal Opportunity Statement:
Synopsys is committed to creating an inclusive workplace and is an equal opportunity employer. We welcome all qualified applicants to apply, regardless of age, color, family or medical leave, gender identity or expression, marital status, disability, race and ethnicity, religion, sexual orientation, or any other characteristic protected by local laws. If you need assistance or a reasonable accommodation during the application process, please reach out to us.
At Synopsys, we want talented people of every background to feel valued and supported to do their best work. Synopsys considers all applicants for employment without regard to race, color, religion, national origin, gender, sexual orientation, age, military veteran status, or disability.
Locations: Noida, Uttar Pradesh, India",IT Software ; Software Products & Services,"Telecom,  IT-Hardware/Networking",Software Engineer,Any Graduate,Full Time,"['troubleshooting software', 'coding (c/c )', 'scripting languages', 'data structures', 'operating systems', 'vhdl', 'perl', 'python']",Synopsys Inc,https://www.synopsys.com/,"Technology - IT, Telecom, Semiconductors (Other Technology Equipment/ Products)",,
Junior Market Maker,LCX,Gurgaon,0 - 1 Years,Not disclosed,": Junior Market Making Specialist for Crypto and Blockchain Company
Position: Junior Market-Making Specialist
Location: Gurugram, India
Company: LCX Technologies Private Limited
About Us:
LCX is a leading innovator in the cryptocurrency and blockchain industry, dedicated to fostering the growth and stability of digital assets. We are committed to providing a robust trading ecosystem that ensures liquidity and efficiency for our clients. As we expand our operations, we are seeking a skilled Market-Making Specialist with a background in reputable market-making firms to join our team.
Job Overview:
The Junior Market Maker will assist in setting up, monitoring, and maintaining our market-making operations. This is an excellent opportunity for freshers or early-career professionals with a strong passion for cryptocurrency and blockchain. The ideal candidate should have a basic understanding of crypto markets and trading principles.
Key Responsibilities:
Market-Making Setup:
Develop and implement market-making strategies for various cryptocurrency pairs.
Configure and optimize trading algorithms and systems for market-making activities.
Coordinate with the technical team to ensure seamless integration of market-making tools.
Onboarding:
Collaborate with the BD team to onboard new market-making clients and partners.
Provide technical support and guidance during the onboarding process.
Ensure all systems and protocols are in place for new market-making activities.
Monitoring and Maintenance:
Continuously monitor market conditions and adjust strategies to maintain optimal performance.
Perform regular maintenance and updates on market-making systems.
Troubleshoot and resolve any issues that arise in real-time to ensure uninterrupted operations.
Collaboration and Communication:
Work closely with senior team members to align market-making efforts with company goals.
Communicate with internal teams, including Business Development and Compliance, to ensure coordination.
Prepare and present regular performance updates and insights.
Requirements:
Experience:
Freshers or candidates with up to 1 year of experience in crypto, trading, or blockchain are welcome.
Basic understanding of market-making, trading platforms, or cryptocurrency markets.
Knowledge of blockchain technology and crypto trading is essential.
Technical Skills:
Familiarity with trading platforms (e.g., Binance, KuCoin, etc.) and crypto trading tools is a plus.
Strong analytical and problem-solving abilities.
Proficiency in programming languages such as Python, C  , or Java is a plus.
Soft Skills:
Excellent analytical and problem-solving skills.
Strong communication and interpersonal abilities.
Ability to work as part of a team in a fast-paced environment.
Benefits:
Competitive salary and performance-based bonuses.
Opportunities for professional growth and development.
Collaborative and innovative work environment.
Training and development to help you grow your career in the cryptocurrency sector.
Join LCX and be a part of shaping the future of cryptocurrency trading and blockchain technology.
Locations: Haryana, Gurugram, India",IT Software ; Software Products & Services,"Financial Services/Stockbroking,  Banking",Software Engineer,Any Graduate,Full Time,"['market making strategies', 'trading algorithms optimization', 'crypto markets understanding', 'analytical problem solving', 'communication skills', 'python', 'c', 'java', 'technical skills']",LCX,http://www.lcx.com,"Banking, Financial Services & Insurance (Other Banking, Financial Services & Insurance)",,
